source,context,en_raw,zh_raw,en_norm,zh_norm
E135-1B,5.2.2,"ES1, ES2 and ES3 limits",ES1、ES2和ES3限制,"ES1, ES2 and ES3 limits",ES1、ES2和ES3限制
E135-1B,5.2.2.2,Steady-state voltage and current limits .................... :,穩態電壓和電流限制:,Steady-state voltage and current limits :,穩態電壓和電流限制:
E135-1B,5.2.2.3,Capacitance limits ..................................................... :,電容性限制值,Capacitance limits :,電容性限制值
E135-1B,5.2.2.4,Single pulse limits ..................................................... :,單一脈衝限制值,Single pulse limits :,單一脈衝限制值
E135-1B,5.2.2.5,Limits for repetitive pulses ........................................ :,連續性脈衝之限制值,Limits for repetitive pulses :,連續性脈衝之限制值
E135-1B,5.2.2.6,Ringing signals,振鈴訊號,Ringing signals,振鈴訊號
E135-1B,5.2.2.7,Audio signals,音頻訊號,Audio signals,音頻訊號
E135-1B,5.3,Protection against electrical energy sources,針對電氣能量源之保護,Protection against electrical energy sources,針對電氣能量源之保護
E135-1B,5.3.1,"General Requirements for accessible parts to ordinary, instructed and skilled persons",普通人員、受指導人員及技術人員可觸及零件的一般要求,"General Requirements for accessible parts to ordinary, instructed and skilled persons",普通人員、受指導人員及技術人員可觸及零件的一般要求
E135-1B,5.3.1,Accessible ES1/ES2 derived from ES2/ES3 circuits,可訪問ES1/ES2派生自ES2/ES3電路,Accessible ES1/ES2 derived from ES2/ES3 circuits,可訪問ES1/ES2派生自ES2/ES3電路
E135-1B,5.3.1,Skilled persons not unintentional contact ES3 bare conductors,技術人員不無意接觸 ES3裸導體,Skilled persons not unintentional contact ES3 bare conductors,技術人員不無意接觸 ES3裸導體
E135-1B,5.3.2.1,Accessibility to electrical energy sources and safeguards,觸及之電能來源和保障措施,Accessibility to electrical energy sources and safeguards,觸及之電能來源和保障措施
E135-1B,5.3.2.1,Accessibility to outdoor equipment bare parts,可訪問戶外設備裸露部件,Accessibility to outdoor equipment bare parts,可訪問戶外設備裸露部件
E135-1B,5.3.2.2,Contact requirements,接觸要求,Contact requirements,接觸要求
E135-1B,5.3.2.2,Test with test probe from Annex V,使用附錄V試驗探棒進行試驗,Test with test probe from Annex V,使用附錄V試驗探棒進行試驗
E135-1B,5.3.2.2,Air gap – electric strength test potential (V) ............. :,空氣間隙=電動強度測試電位(V):,Air gap – electric strength test potential (V) :,空氣間隙=電動強度測試電位(V):
E135-1B,5.3.2.2,Air gap – distance (mm) ........................................... :,空氣間隙=距離(mm) :,Air gap – distance (mm) :,空氣間隙=距離(mm) :
E135-1B,5.3.2.3,Compliance,符合性,Compliance,符合性
E135-1B,5.3.2.4,Terminals for connecting stripped wire,用作裸線連接之端子,Terminals for connecting stripped wire,用作裸線連接之端子
E135-1B,5.4,Insulation materials and requirements,絕緣材料及要求,Insulation materials and requirements,絕緣材料及要求
E135-1B,5.4.1.2,Properties of insulating material,絕緣材料之性質,Properties of insulating material,絕緣材料之性質
E135-1B,5.4.1.3,Material is non-hygroscopic,材料是非吸濕的,Material is non-hygroscopic,材料是非吸濕的
E135-1B,5.4.1.4,Maximum operating temperature for insulating materials .................................................................... :,材料、組件及系統之最大操作溫度,Maximum operating temperature for insulating materials :,材料、組件及系統之最大操作溫度
E135-1B,5.4.1.5,Pollution degrees ...................................................... :,污染等級,Pollution degrees :,污染等級
E135-1B,5.4.1.5.2,Test for pollution degree 1 environment and for an insulating compound,對於污染等級1之環境及絕緣化合物之試驗,Test for pollution degree 1 environment and for an insulating compound,對於污染等級1之環境及絕緣化合物之試驗
E135-1B,5.4.1.5.3,Thermal cycling test,熱循環試驗,Thermal cycling test,熱循環試驗
E135-1B,5.4.1.6,Insulation in transformers with varying dimensions,變壓器內具不同尺度之絕緣,Insulation in transformers with varying dimensions,變壓器內具不同尺度之絕緣
E135-1B,5.4.1.7,Insulation in circuits generating starting pulses,在產生起始脈衝電路內之絕緣,Insulation in circuits generating starting pulses,在產生起始脈衝電路內之絕緣
E135-1B,5.4.1.8,Determination of working voltage ............................. :,決定工作電壓,Determination of working voltage :,決定工作電壓
E135-1B,5.4.1.9,Insulating surfaces,絕緣表面,Insulating surfaces,絕緣表面
E135-1B,5.4.1.10,Thermoplastic parts on which conductive metallic parts are directly mounted,被可導電金屬部件直接鑲嵌之熱塑性部件,Thermoplastic parts on which conductive metallic parts are directly mounted,被可導電金屬部件直接鑲嵌之熱塑性部件
E135-1B,5.4.1.10.2,Vicat test .................................................................... :,軟化(Vicat)試驗,Vicat test :,軟化(Vicat)試驗
E135-1B,5.4.1.10.3,Ball pressure test ...................................................... :,球壓試驗,Ball pressure test :,球壓試驗
E135-1B,5.4.2,Clearances,空間距離,Clearances,空間距離
E135-1B,5.4.2.1,General requirements,一般要求,General requirements,一般要求
E135-1B,5.4.2.1,"Clearances in circuits connected to AC Mains, Alternative method","連接到交流電源的電路中的間隙, 替代方法","Clearances in circuits connected to AC Mains, Alternative method","連接到交流電源的電路中的間隙, 替代方法"
E135-1B,5.4.2.2,Procedure 1 for determining clearance,程序1決定空間距離,Procedure 1 for determining clearance,程序1決定空間距離
E135-1B,5.4.2.2,Temporary overvoltage ............................................ :,暫時過壓 :,Temporary overvoltage :,暫時過壓 :
E135-1B,5.4.2.3,Procedure 2 for determining clearance,程序2決定空間距離,Procedure 2 for determining clearance,程序2決定空間距離
E135-1B,5.4.2.3.2.2,a.c. mains transient voltage ...................................... :,交流電源系統暫態電壓,a.c. mains transient voltage :,交流電源系統暫態電壓
E135-1B,5.4.2.3.2.3,d.c. mains transient voltage ..................................... :,直流電源系統暫態電壓,d.c. mains transient voltage :,直流電源系統暫態電壓
E135-1B,5.4.2.3.2.4,External circuit transient voltage ............................... :,外部電路暫態電壓,External circuit transient voltage :,外部電路暫態電壓
E135-1B,5.4.2.3.2.5,Transient voltage determined by measurement ...... :,以量測決定暫態電壓位準,Transient voltage determined by measurement :,以量測決定暫態電壓位準
E135-1B,5.4.2.4,Determining the adequacy of a clearance using an electric strength test ................................................. :,使用耐電壓試驗決定合適之空間距離,Determining the adequacy of a clearance using an electric strength test :,使用耐電壓試驗決定合適之空間距離
E135-1B,5.4.2.5,Multiplication factors for clearances and test voltages ................................................................................... :,"超過海拔2,000 m之乘數因子",Multiplication factors for clearances and test voltages :,"超過海拔2,000 m之乘數因子"
E135-1B,5.4.2.6,Clearance measurement .......................................... :,間隙測量:,Clearance measurement :,間隙測量:
E135-1B,5.4.3,Creepage distances,沿面距離,Creepage distances,沿面距離
E135-1B,5.4.3.1,General,一般,General,一般
E135-1B,5.4.3.3,Material group ........................................................... :,材料群組,Material group :,材料群組
E135-1B,5.4.3.4,Creepage distances measurement .......................... :,沿面距離測量:,Creepage distances measurement :,沿面距離測量:
E135-1B,5.4.4,Solid insulation,固體絕緣,Solid insulation,固體絕緣
E135-1B,5.4.4.1,General requirements,一般要求,General requirements,一般要求
E135-1B,5.4.4.2,Minimum distance through insulation ...................... :,最小絕緣穿透距離,Minimum distance through insulation :,最小絕緣穿透距離
E135-1B,5.4.4.3,Insulating compound forming solid insulation,絕緣化合物形成固體絕緣,Insulating compound forming solid insulation,絕緣化合物形成固體絕緣
E135-1B,5.4.4.4,Solid insulation in semiconductor devices,半導體器件中的固體絕緣,Solid insulation in semiconductor devices,半導體器件中的固體絕緣
E135-1B,5.4.4.5,Insulating compound forming cemented joints,絕緣化合物形成接合劑接合,Insulating compound forming cemented joints,絕緣化合物形成接合劑接合
E135-1B,5.4.4.6,Thin sheet material,薄片材料,Thin sheet material,薄片材料
E135-1B,5.4.4.6.1,General requirements,一般要求,General requirements,一般要求
E135-1B,5.4.4.6.2,Separable thin sheet material,可分離薄片材料,Separable thin sheet material,可分離薄片材料
E135-1B,5.4.4.6.2,Number of layers (pcs) ............................................ :,層數(層):,Number of layers (pcs) :,層數(層):
E135-1B,5.4.4.6.3,Non-separable thin sheet material,不可分離薄片材料,Non-separable thin sheet material,不可分離薄片材料
E135-1B,5.4.4.6.3,Number of layers (pcs) ......................................... :,層數(層),Number of layers (pcs) :,層數(層)
E135-1B,5.4.4.6.4,Standard test procedure for non-separable thin sheet material ........................................................ :,不可分離式薄片絕緣之標準試驗程序,Standard test procedure for non-separable thin sheet material :,不可分離式薄片絕緣之標準試驗程序
E135-1B,5.4.4.6.5,Mandrel test,轉軸試驗,Mandrel test,轉軸試驗
E135-1B,5.4.4.7,Solid insulation in wound components,繞線組件中之固體絕緣,Solid insulation in wound components,繞線組件中之固體絕緣
E135-1B,5.4.4.9,"Solid insulation at frequencies >30 kHz, E , K , d, P R V (V) ................................................................... : PW",頻率超過30 kHz 之固體絕緣要求,"Solid insulation at frequencies >30 kHz, E , K , d, P R V (V) : PW",頻率超過30 kHz 之固體絕緣要求
E135-1B,5.4.4.9,"Alternative by electric strength test, tested voltage (V), K .................................................................... : R","透過耐電壓試驗替代,測試電壓(V), KR:","Alternative by electric strength test, tested voltage (V), K : R","透過耐電壓試驗替代,測試電壓(V), KR:"
E135-1B,5.4.5,Antenna terminal insulation,天線端子絕緣,Antenna terminal insulation,天線端子絕緣
E135-1B,5.4.5.1,General,一般,General,一般
E135-1B,5.4.5.2,Voltage surge test,電壓浪湧試驗,Voltage surge test,電壓浪湧試驗
E135-1B,5.4.5.3,Insulation resistance (M) ..................................... :,絕緣電阻(M):,Insulation resistance (M) :,絕緣電阻(M):
E135-1B,5.4.5.3,Electric strength test ................................................. :,耐電壓試驗:,Electric strength test :,耐電壓試驗:
E135-1B,5.4.6,Insulation of internal wire as part of supplementary safeguard,內部線材絕緣用作補充安全防護之一部分,Insulation of internal wire as part of supplementary safeguard,內部線材絕緣用作補充安全防護之一部分
E135-1B,5.4.7,Tests for semiconductor components and for cemented joints,半導體組件及接合劑接合之試驗,Tests for semiconductor components and for cemented joints,半導體組件及接合劑接合之試驗
E135-1B,5.4.8,Humidity conditioning,濕度處理,Humidity conditioning,濕度處理
E135-1B,5.4.8,"Relative humidity (%), temperature (°C), duration (h) .......................................................................... :","相對濕度(%), 溫度(°C), 持續時間(h):","Relative humidity (%), temperature (°C), duration (h) :","相對濕度(%), 溫度(°C), 持續時間(h):"
E135-1B,5.4.9,Electric strength test,耐電壓試驗,Electric strength test,耐電壓試驗
E135-1B,5.4.9.1,Test procedure for type test of solid insulation ....... :,固體絕緣型式試驗之試驗程序,Test procedure for type test of solid insulation :,固體絕緣型式試驗之試驗程序
E135-1B,5.4.9.2,Test procedure for routine test,例行試驗之試驗程序,Test procedure for routine test,例行試驗之試驗程序
E135-1B,5.4.10,Safeguards against transient voltages from external circuits,防止來自外部電路暫態電壓,Safeguards against transient voltages from external circuits,防止來自外部電路暫態電壓
E135-1B,5.4.10.1,Parts and circuits separated from external circuits,與外部電路分離的部件和電路,Parts and circuits separated from external circuits,與外部電路分離的部件和電路
E135-1B,5.4.10.2,Test methods,試驗法,Test methods,試驗法
E135-1B,5.4.10.2.1,General,一般,General,一般
E135-1B,5.4.10.2.2,Impulse test ........................................................... :,脈衝試驗,Impulse test :,脈衝試驗
E135-1B,5.4.10.2.3,Steady-state test .................................................... :,穩態試驗,Steady-state test :,穩態試驗
E135-1B,5.4.10.3,Verification for insulation breakdown for impulse test ......................................................................... :,脈衝試驗絕緣故障的驗證:,Verification for insulation breakdown for impulse test :,脈衝試驗絕緣故障的驗證:
E135-1B,5.4.11,Separation between external circuits and earth,外部電路對地間之隔離,Separation between external circuits and earth,外部電路對地間之隔離
E135-1B,5.4.11.1,Exceptions to separation between external circuits and earth,外部電路對地間分離的例外情況,Exceptions to separation between external circuits and earth,外部電路對地間分離的例外情況
E135-1B,5.4.11.2,Requirements,要求,Requirements,要求
E135-1B,5.4.11.2,SPDs bridge separation between external circuit and earth,橋接在ES1或ES2外部電路與接地突波保護裝置(SPD),SPDs bridge separation between external circuit and earth,橋接在ES1或ES2外部電路與接地突波保護裝置(SPD)
E135-1B,5.4.11.2,Rated operating voltage U (V) ............................. : op,交流主電源系統標稱電壓(V):,Rated operating voltage U (V) : op,交流主電源系統標稱電壓(V):
E135-1B,5.4.11.2,Nominal voltage U (V) ....................................... : peak,標稱電壓 U峰值(V):,Nominal voltage U (V) : peak,標稱電壓 U峰值(V):
E135-1B,5.4.11.2,Max increase due to variation U ........................ : sp,為生產差異產生的額定操作電壓負容許差Usp,Max increase due to variation U : sp,為生產差異產生的額定操作電壓負容許差Usp
E135-1B,5.4.11.2,Max increase due to ageing U ......................... : sa,因老化而產生的最大額定操作電壓變動值U sa:,Max increase due to ageing U : sa,因老化而產生的最大額定操作電壓變動值U sa:
E135-1B,5.4.11.3,Test method and compliance ................................ :,試驗方法與符合性性:,Test method and compliance :,試驗方法與符合性性:
E135-1B,5.4.12,Insulating liquid,絕緣液體,Insulating liquid,絕緣液體
E135-1B,5.4.12.1,General requirements,一般要求,General requirements,一般要求
E135-1B,5.4.12.2,Electric strength of an insulating liquid .................. :,絕緣液體之絕緣耐電壓:,Electric strength of an insulating liquid :,絕緣液體之絕緣耐電壓:
E135-1B,5.4.12.3,Compatibility of an insulating liquid ....................... :,絕緣液體之相容性:,Compatibility of an insulating liquid :,絕緣液體之相容性:
E135-1B,5.4.12.4,Container for insulating liquid ................................ :,絕緣液體之容器:,Container for insulating liquid :,絕緣液體之容器:
E135-1B,5.5,Components as safeguards,安全防護之組件,Components as safeguards,安全防護之組件
E135-1B,5.5.1,General,一般,General,一般
E135-1B,5.5.2,Capacitors and RC units,電容器和RC單元,Capacitors and RC units,電容器和RC單元
E135-1B,5.5.2.1,General requirement,一般要求,General requirement,一般要求
E135-1B,5.5.2.2,Safeguards against capacitor discharge after disconnection of a connector ................................. :,連接器切離後之電容器放電:,Safeguards against capacitor discharge after disconnection of a connector :,連接器切離後之電容器放電:
E135-1B,5.5.3,Transformers,變壓器,Transformers,變壓器
E135-1B,5.5.4,Optocouplers,光耦合器,Optocouplers,光耦合器
E135-1B,5.5.5,Relays,繼電器,Relays,繼電器
E135-1B,5.5.6,Resistors,電阻器,Resistors,電阻器
E135-1B,5.5.7,SPDs,SPD,SPDs,SPD
E135-1B,5.5.8,Insulation between the mains and an external circuit consisting of a coaxial cable ....................... :,在主電源與外部電路間含有同軸電纜之絕緣:,Insulation between the mains and an external circuit consisting of a coaxial cable :,在主電源與外部電路間含有同軸電纜之絕緣:
E135-1B,5.5.9,Safeguards for socket-outlets in outdoor equipment,戶外設備中插座之安全防護,Safeguards for socket-outlets in outdoor equipment,戶外設備中插座之安全防護
E135-1B,5.5.9,RCD rated residual operating current (mA) ........... :,額定剩餘操作電流(mA):,RCD rated residual operating current (mA) :,額定剩餘操作電流(mA):
E135-1B,5.6,Protective conductor,保護導體,Protective conductor,保護導體
E135-1B,5.6.2,Requirement for protective conductors,保護導體之規定,Requirement for protective conductors,保護導體之規定
E135-1B,5.6.2.1,General requirements,一般要求,General requirements,一般要求
E135-1B,5.6.2.2,Colour of insulation,絕緣顏色,Colour of insulation,絕緣顏色
E135-1B,5.6.3,Requirement for protective earthing conductors,保護接地導體的要求,Requirement for protective earthing conductors,保護接地導體的要求
E135-1B,5.6.3,Protective earthing conductor size (mm2) .............. :,保護性接地導體大小(mm2) :,Protective earthing conductor size (mm2) :,保護性接地導體大小(mm2) :
E135-1B,5.6.3,Protective earthing conductor serving as a reinforced safeguard,保護性接地導體作為加固的防護裝置,Protective earthing conductor serving as a reinforced safeguard,保護性接地導體作為加固的防護裝置
E135-1B,5.6.3,Protective earthing conductor serving as a double safeguard,保護接地導體作為雙重保護,Protective earthing conductor serving as a double safeguard,保護接地導體作為雙重保護
E135-1B,5.6.4,Requirements for protective bonding conductors,保護搭接導體之規定,Requirements for protective bonding conductors,保護搭接導體之規定
E135-1B,5.6.4.1,Protective bonding conductors,保護搭接導體,Protective bonding conductors,保護搭接導體
E135-1B,5.6.4.1,Protective bonding conductor size (mm2). .............. :,保護搭接導體應大小(mm2):,Protective bonding conductor size (mm2). :,保護搭接導體應大小(mm2):
E135-1B,5.6.4.2,Protective current rating (A) .................................... :,保護性電流額定值(A):,Protective current rating (A) :,保護性電流額定值(A):
E135-1B,5.6.5,Terminals for protective conductors,保護導體的端子,Terminals for protective conductors,保護導體的端子
E135-1B,5.6.5.1,Terminal size for connecting protective earthing conductors (mm) .................................................... :,連線保護接地導體的端子大小(mm):,Terminal size for connecting protective earthing conductors (mm) :,連線保護接地導體的端子大小(mm):
E135-1B,5.6.5.1,Terminal size for connecting protective bonding conductors (mm) ....................................................... :,連線保護搭接導體的端子大小(mm):,Terminal size for connecting protective bonding conductors (mm) :,連線保護搭接導體的端子大小(mm):
E135-1B,5.6.5.2,Corrosion,腐蝕,Corrosion,腐蝕
E135-1B,5.6.6,Resistance of the protective bonding system,保護搭接系統之電阻,Resistance of the protective bonding system,保護搭接系統之電阻
E135-1B,5.6.6.1,Requirements,要求,Requirements,要求
E135-1B,5.6.6.2,Test Method ........................................................... :,試驗方法:,Test Method :,試驗方法:
E135-1B,5.6.6.3,Resistance () or voltage drop .............................. :,電阻或電壓降:,Resistance () or voltage drop :,電阻或電壓降:
E135-1B,5.6.7,Reliable connection of a protective earthing conductor,保護接地導體之可靠連接,Reliable connection of a protective earthing conductor,保護接地導體之可靠連接
E135-1B,5.6.8,Functional earthing,功能性接地,Functional earthing,功能性接地
E135-1B,5.6.8,Conductor size (mm2) ............................................. :,導體大小(mm2):,Conductor size (mm2) :,導體大小(mm2):
E135-1B,5.6.8,Class II with functional earthing marking .............. :,"II 類, 帶有功能接地標記:",Class II with functional earthing marking :,"II 類, 帶有功能接地標記:"
E135-1B,5.6.8,Appliance inlet cl & cr (mm) ................................... :,"電器輸入插座, 應符合雙重絕緣或強化絕緣之沿面距離及空間距離之",Appliance inlet cl & cr (mm) :,"電器輸入插座, 應符合雙重絕緣或強化絕緣之沿面距離及空間距離之"
E135-1B,5.7,"Prospective touch voltage, touch current and protective conductor current",預期之接觸電壓、接觸電流及保護導體電流,"Prospective touch voltage, touch current and protective conductor current",預期之接觸電壓、接觸電流及保護導體電流
E135-1B,5.7.2,Measuring devices and networks,測量設備和網路,Measuring devices and networks,測量設備和網路
E135-1B,5.7.2.1,Measurement of touch current,量測接觸電流,Measurement of touch current,量測接觸電流
E135-1B,5.7.2.2,Measurement of voltage,量測電壓,Measurement of voltage,量測電壓
E135-1B,5.7.3,"Equipment set-up, supply connections and earth connections",設備設定、電力連接及接地連接,"Equipment set-up, supply connections and earth connections",設備設定、電力連接及接地連接
E135-1B,5.7.4,Unearthed accessible parts ................................... :,非接地可觸及部件,Unearthed accessible parts :,非接地可觸及部件
E135-1B,5.7.5,Earthed accessible conductive parts ..................... :,接地之可觸及導電部件:,Earthed accessible conductive parts :,接地之可觸及導電部件:
E135-1B,5.7.6,Requirements when touch current exceeds ES2 limits,接觸電流超過ES2 限制之要求,Requirements when touch current exceeds ES2 limits,接觸電流超過ES2 限制之要求
E135-1B,5.7.6,Protective conductor current (mA) ......................... :,保護導體電流(mA):,Protective conductor current (mA) :,保護導體電流(mA):
E135-1B,5.7.6,Instructional Safeguard .......................................... :,指示型安全防護:,Instructional Safeguard :,指示型安全防護:
E135-1B,5.7.7,Prospective touch voltage and touch current associated with external circuits,與外部電路相關之預期接觸電壓及電流,Prospective touch voltage and touch current associated with external circuits,與外部電路相關之預期接觸電壓及電流
E135-1B,5.7.7.1,Touch current from coaxial cables,自同軸電纜之接觸電流,Touch current from coaxial cables,自同軸電纜之接觸電流
E135-1B,5.7.7.2,Prospective touch voltage and touch current associated with paired conductor cables,與成對導體電纜相關之預期接觸電壓及電流,Prospective touch voltage and touch current associated with paired conductor cables,與成對導體電纜相關之預期接觸電壓及電流
E135-1B,5.7.8,Summation of touch currents from external circuits,來自外部電路之接觸電流總和,Summation of touch currents from external circuits,來自外部電路之接觸電流總和
E135-1B,5.7.8,"a) Equipment connected to earthed external circuits, current (mA) ............................................. :","a)連接至接地之外部電路的設備,電流 (mA):","a) Equipment connected to earthed external circuits, current (mA) :","a)連接至接地之外部電路的設備,電流 (mA):"
E135-1B,5.7.8,"b) Equipment connected to unearthed external circuits, current (mA) ............................................. :","b)連接至非接地外部電路之設備,電流 (mA):","b) Equipment connected to unearthed external circuits, current (mA) :","b)連接至非接地外部電路之設備,電流 (mA):"
E135-1B,5.8,Backfeed safeguard in battery backed up supplies,電池備用供電之反饋安全防護,Backfeed safeguard in battery backed up supplies,電池備用供電之反饋安全防護
E135-1B,5.8,Mains terminal ES ..................................................... :,主電源端ES:,Mains terminal ES :,主電源端ES:
E135-1B,5.8,Air gap (mm).............................................................. :,空氣間隙(mm):,Air gap (mm) :,空氣間隙(mm):
E135-1B,6,ELECTRICALLY- CAUSED FIRE,電氣導致之火燄,ELECTRICALLY- CAUSED FIRE,電氣導致之火燄
E135-1B,6.2,Classification of PS and PIS,電力能量源(PS)及潛在起火源(PIS)之分級,Classification of PS and PIS,電力能量源(PS)及潛在起火源(PIS)之分級
E135-1B,6.2.2,Power source circuit classifications .......................... :,電力能量源電路分級,Power source circuit classifications :,電力能量源電路分級
E135-1B,6.2.3,Classification of potential ignition sources,潛在點火源之分類,Classification of potential ignition sources,潛在點火源之分類
E135-1B,6.2.3.1,Arcing PIS ................................................................ :,電弧PIS:,Arcing PIS :,電弧PIS:
E135-1B,6.2.3.2,Resistive PIS ............................................................ :,電阻性PIS :,Resistive PIS :,電阻性PIS :
E135-1B,6.3,Safeguards against fire under normal operating and abnormal operating conditions,在正常操作條件及異常操作條件下防火安全防護,Safeguards against fire under normal operating and abnormal operating conditions,在正常操作條件及異常操作條件下防火安全防護
E135-1B,6.3.1,No ignition and attainable temperature value less than 90 % defined by ISO 871 or less than 300 C for unknown materials ........................................... :,"對於未知材料, 無點火和可達到的溫度值小於ISO 871定義的90%或小於300 C:",No ignition and attainable temperature value less than 90 % defined by ISO 871 or less than 300 C for unknown materials :,"對於未知材料, 無點火和可達到的溫度值小於ISO 871定義的90%或小於300 C:"
